Date,Strip_price_Oil
1/31/2025,75.1
2/28/2025,72.61
3/31/2025,72.18
4/30/2025,71.61
5/31/2025,71
6/30/2025,65.24
7/31/2025,65.24
8/31/2025,63.82
9/30/2025,62.72
10/31/2025,62.04
11/30/2025,61.65
12/31/2025,61.48
1/31/2026,61.42
2/28/2026,61.4
3/31/2026,61.41
4/30/2026,61.45
5/31/2026,61.49
6/30/2026,61.5
7/31/2026,61.51
8/31/2026,61.53
9/30/2026,61.57
10/31/2026,61.64
11/30/2026,61.7
12/31/2026,61.71
1/31/2027,61.73
2/28/2027,61.76
3/31/2027,61.82
4/30/2027,61.91
5/31/2027,61.99
6/30/2027,62.01
7/31/2027,62.03
8/31/2027,62.08
9/30/2027,62.14
10/31/2027,62.22
11/30/2027,62.27
12/31/2027,62.27
1/31/2028,62.3
2/29/2028,62.34
3/31/2028,62.38
4/30/2028,62.44
5/31/2028,62.48
6/30/2028,62.47
7/31/2028,61.84
8/31/2028,61.9
9/30/2028,61.99
10/31/2028,62.08
11/30/2028,62.03
12/31/2028,62.21
1/31/2029,62.21
2/28/2029,62.25
3/31/2029,62.31
4/30/2029,62.39
5/31/2029,62.43
6/30/2029,62.41
7/31/2029,62.43
8/31/2029,62.44
9/30/2029,62.5
10/31/2029,62.56
11/30/2029,62.61
12/31/2029,62.59
1/31/2030,62.59
2/28/2030,62.61
3/31/2030,62.66
4/30/2030,62.7
5/31/2030,62.75
6/30/2030,62.72
7/31/2030,62.72
8/31/2030,62.72
9/30/2030,62.72
10/31/2030,62.72
11/30/2030,62.72
12/31/2030,62.72
1/31/2031,62.72
2/28/2031,62.72
3/31/2031,62.72
4/30/2031,62.72
5/31/2031,62.72
6/30/2031,62.72
7/31/2031,62.72
8/31/2031,62.72
9/30/2031,62.72
10/31/2031,62.72
11/30/2031,62.72
12/31/2031,62.72
1/31/2032,62.72
2/29/2032,62.72
3/31/2032,62.72
4/30/2032,62.72
5/31/2032,62.72
6/30/2032,62.72
7/31/2032,62.72
8/31/2032,62.72
9/30/2032,62.72
10/31/2032,62.72
11/30/2032,62.72
12/31/2032,62.72
1/31/2033,62.72
2/28/2033,62.72
3/31/2033,62.72
4/30/2033,62.72
5/31/2033,62.72
6/30/2033,62.72
7/31/2033,62.72
8/31/2033,62.72
9/30/2033,62.72
10/31/2033,62.72
11/30/2033,62.72
12/31/2033,62.72
1/31/2034,62.72
2/28/2034,62.72
3/31/2034,62.72
4/30/2034,62.72
5/31/2034,62.72
6/30/2034,62.72
7/31/2034,62.72
8/31/2034,62.72
9/30/2034,62.72
10/31/2034,62.72
11/30/2034,62.72
12/31/2034,62.72
1/31/2035,62.72
2/28/2035,62.72
3/31/2035,62.72
4/30/2035,62.72
5/31/2035,62.72
6/30/2035,62.72
7/31/2035,62.72
8/31/2035,62.72
9/30/2035,62.72
10/31/2035,62.72
11/30/2035,62.72
12/31/2035,62.72
1/31/2036,62.72
2/29/2036,62.72
3/31/2036,62.72
4/30/2036,62.72
5/31/2036,62.72
6/30/2036,62.72
7/31/2036,62.72
8/31/2036,62.72
9/30/2036,62.72
10/31/2036,62.72
11/30/2036,62.72
12/31/2036,62.72
1/31/2037,62.72
2/28/2037,62.72
3/31/2037,62.72
4/30/2037,62.72
5/31/2037,62.72
6/30/2037,62.72
7/31/2037,62.72
8/31/2037,62.72
9/30/2037,62.72
10/31/2037,62.72
11/30/2037,62.72
12/31/2037,62.72
1/31/2038,62.72
2/28/2038,62.72
3/31/2038,62.72
4/30/2038,62.72
5/31/2038,62.72
6/30/2038,62.72
7/31/2038,62.72
8/31/2038,62.72
9/30/2038,62.72
10/31/2038,62.72
11/30/2038,62.72
12/31/2038,62.72
1/31/2039,62.72
2/28/2039,62.72
3/31/2039,62.72
4/30/2039,62.72
5/31/2039,62.72
6/30/2039,62.72
7/31/2039,62.72
8/31/2039,62.72
9/30/2039,62.72
10/31/2039,62.72
11/30/2039,62.72
12/31/2039,62.72
1/31/2040,62.72
2/29/2040,62.72
3/31/2040,62.72
4/30/2040,62.72
5/31/2040,62.72
6/30/2040,62.72
7/31/2040,62.72
8/31/2040,62.72
9/30/2040,62.72
10/31/2040,62.72
11/30/2040,62.72
12/31/2040,62.72
1/31/2041,62.72
2/28/2041,62.72
3/31/2041,62.72
4/30/2041,62.72
5/31/2041,62.72
6/30/2041,62.72
7/31/2041,62.72
8/31/2041,62.72
9/30/2041,62.72
10/31/2041,62.72
11/30/2041,62.72
12/31/2041,62.72
1/31/2042,62.72
2/28/2042,62.72
3/31/2042,62.72
4/30/2042,62.72
5/31/2042,62.72
6/30/2042,62.72
7/31/2042,62.72
8/31/2042,62.72
9/30/2042,62.72
10/31/2042,62.72
11/30/2042,62.72
12/31/2042,62.72
1/31/2043,62.72
2/28/2043,62.72
3/31/2043,62.72
4/30/2043,62.72
5/31/2043,62.72
6/30/2043,62.72
7/31/2043,62.72
8/31/2043,62.72
9/30/2043,62.72
10/31/2043,62.72
11/30/2043,62.72
12/31/2043,62.72
1/31/2044,62.72
2/29/2044,62.72
3/31/2044,62.72
4/30/2044,62.72
5/31/2044,62.72
6/30/2044,62.72
7/31/2044,62.72
8/31/2044,62.72
9/30/2044,62.72
10/31/2044,62.72
11/30/2044,62.72
12/31/2044,62.72
1/31/2045,62.72
2/28/2045,62.72
3/31/2045,62.72
4/30/2045,62.72
5/31/2045,62.72
6/30/2045,62.72
7/31/2045,62.72
8/31/2045,62.72
9/30/2045,62.72
10/31/2045,62.72
11/30/2045,62.72
12/31/2045,62.72
1/31/2046,62.72
2/28/2046,62.72
3/31/2046,62.72
4/30/2046,62.72
5/31/2046,62.72
6/30/2046,62.72
7/31/2046,62.72
8/31/2046,62.72
9/30/2046,62.72
10/31/2046,62.72
11/30/2046,62.72
12/31/2046,62.72
1/31/2047,62.72
2/28/2047,62.72
3/31/2047,62.72
4/30/2047,62.72
5/31/2047,62.72
6/30/2047,62.72
7/31/2047,62.72
8/31/2047,62.72
9/30/2047,62.72
10/31/2047,62.72
11/30/2047,62.72
12/31/2047,62.72
1/31/2048,62.72
2/29/2048,62.72
3/31/2048,62.72
4/30/2048,62.72
5/31/2048,62.72
6/30/2048,62.72
7/31/2048,62.72
8/31/2048,62.72
9/30/2048,62.72
10/31/2048,62.72
11/30/2048,62.72
12/31/2048,62.72
1/31/2049,62.72
2/28/2049,62.72
3/31/2049,62.72
4/30/2049,62.72
5/31/2049,62.72
6/30/2049,62.72
7/31/2049,62.72
8/31/2049,62.72
9/30/2049,62.72
10/31/2049,62.72
11/30/2049,62.72
12/31/2049,62.72
1/31/2050,62.72
2/28/2050,62.72
3/31/2050,62.72
4/30/2050,62.72
5/31/2050,62.72
6/30/2050,62.72
7/31/2050,62.72
8/31/2050,62.72
9/30/2050,62.72
10/31/2050,62.72
11/30/2050,62.72
12/31/2050,62.72
1/31/2051,62.72
2/28/2051,62.72
3/31/2051,62.72
4/30/2051,62.72
5/31/2051,62.72
6/30/2051,62.72
7/31/2051,62.72
8/31/2051,62.72
9/30/2051,62.72
10/31/2051,62.72
11/30/2051,62.72
12/31/2051,62.72
1/31/2052,62.72
2/29/2052,62.72
3/31/2052,62.72
4/30/2052,62.72
5/31/2052,62.72
6/30/2052,62.72
7/31/2052,62.72
8/31/2052,62.72
9/30/2052,62.72
10/31/2052,62.72
11/30/2052,62.72
12/31/2052,62.72
1/31/2053,62.72
2/28/2053,62.72
3/31/2053,62.72
4/30/2053,62.72
5/31/2053,62.72
6/30/2053,62.72
7/31/2053,62.72
8/31/2053,62.72
9/30/2053,62.72
10/31/2053,62.72
11/30/2053,62.72
12/31/2053,62.72
1/31/2054,62.72
2/28/2054,62.72
3/31/2054,62.72
4/30/2054,62.72
5/31/2054,62.72
6/30/2054,62.72
7/31/2054,62.72
8/31/2054,62.72
9/30/2054,62.72
10/31/2054,62.72
11/30/2054,62.72
12/31/2054,62.72
1/31/2055,62.72
2/28/2055,62.72
3/31/2055,62.72
4/30/2055,62.72
5/31/2055,62.72
6/30/2055,62.72
7/31/2055,62.72
8/31/2055,62.72
9/30/2055,62.72
10/31/2055,62.72
11/30/2055,62.72
12/31/2055,62.72
1/31/2056,62.72
2/29/2056,62.72
3/31/2056,62.72
4/30/2056,62.72
5/31/2056,62.72
6/30/2056,62.72
7/31/2056,62.72
8/31/2056,62.72
9/30/2056,62.72
10/31/2056,62.72
11/30/2056,62.72
12/31/2056,62.72
1/31/2057,62.72
2/28/2057,62.72
3/31/2057,62.72
4/30/2057,62.72
5/31/2057,62.72
6/30/2057,62.72
7/31/2057,62.72
8/31/2057,62.72
9/30/2057,62.72
10/31/2057,62.72
11/30/2057,62.72
12/31/2057,62.72
1/31/2058,62.72
2/28/2058,62.72
3/31/2058,62.72
4/30/2058,62.72
5/31/2058,62.72
6/30/2058,62.72
7/31/2058,62.72
8/31/2058,62.72
9/30/2058,62.72
10/31/2058,62.72
11/30/2058,62.72
12/31/2058,62.72
1/31/2059,62.72
2/28/2059,62.72
3/31/2059,62.72
4/30/2059,62.72
5/31/2059,62.72
6/30/2059,62.72
7/31/2059,62.72
8/31/2059,62.72
9/30/2059,62.72
10/31/2059,62.72
11/30/2059,62.72
12/31/2059,62.72
1/31/2060,62.72
2/29/2060,62.72
3/31/2060,62.72
4/30/2060,62.72
5/31/2060,62.72
6/30/2060,62.72
7/31/2060,62.72
8/31/2060,62.72
9/30/2060,62.72
10/31/2060,62.72
11/30/2060,62.72
12/31/2060,62.72
1/31/2061,62.72
2/28/2061,62.72
3/31/2061,62.72
4/30/2061,62.72
5/31/2061,62.72
6/30/2061,62.72
7/31/2061,62.72
8/31/2061,62.72
9/30/2061,62.72
10/31/2061,62.72
11/30/2061,62.72
12/31/2061,62.72
1/31/2062,62.72
2/28/2062,62.72
3/31/2062,62.72
4/30/2062,62.72
5/31/2062,62.72
6/30/2062,62.72
7/31/2062,62.72
8/31/2062,62.72
9/30/2062,62.72
10/31/2062,62.72
11/30/2062,62.72
12/31/2062,62.72
1/31/2063,62.72
2/28/2063,62.72
3/31/2063,62.72
4/30/2063,62.72
5/31/2063,62.72
6/30/2063,62.72
7/31/2063,62.72
8/31/2063,62.72
9/30/2063,62.72
10/31/2063,62.72
11/30/2063,62.72
12/31/2063,62.72
1/31/2064,62.72
2/29/2064,62.72
3/31/2064,62.72
4/30/2064,62.72
5/31/2064,62.72
6/30/2064,62.72
7/31/2064,62.72
8/31/2064,62.72
9/30/2064,62.72
10/31/2064,62.72
11/30/2064,62.72
12/31/2064,62.72
1/31/2065,62.72
2/28/2065,62.72
3/31/2065,62.72
4/30/2065,62.72
5/31/2065,62.72
6/30/2065,62.72
7/31/2065,62.72
8/31/2065,62.72
9/30/2065,62.72
10/31/2065,62.72
11/30/2065,62.72
12/31/2065,62.72
1/31/2066,62.72
2/28/2066,62.72
3/31/2066,62.72
4/30/2066,62.72
5/31/2066,62.72
6/30/2066,62.72
7/31/2066,62.72
8/31/2066,62.72
9/30/2066,62.72
10/31/2066,62.72
11/30/2066,62.72
12/31/2066,62.72
1/31/2067,62.72
2/28/2067,62.72
3/31/2067,62.72
4/30/2067,62.72
5/31/2067,62.72
6/30/2067,62.72
7/31/2067,62.72
8/31/2067,62.72
9/30/2067,62.72
10/31/2067,62.72
11/30/2067,62.72
12/31/2067,62.72
1/31/2068,62.72
2/29/2068,62.72
3/31/2068,62.72
4/30/2068,62.72
5/31/2068,62.72
6/30/2068,62.72
7/31/2068,62.72
8/31/2068,62.72
9/30/2068,62.72
10/31/2068,62.72
11/30/2068,62.72
12/31/2068,62.72
1/31/2069,62.72
2/28/2069,62.72
3/31/2069,62.72
4/30/2069,62.72
5/31/2069,62.72
6/30/2069,62.72
7/31/2069,62.72
8/31/2069,62.72
9/30/2069,62.72
10/31/2069,62.72
11/30/2069,62.72
12/31/2069,62.72
1/31/2070,62.72
2/28/2070,62.72
3/31/2070,62.72
4/30/2070,62.72
5/31/2070,62.72
6/30/2070,62.72
7/31/2070,62.72
8/31/2070,62.72
9/30/2070,62.72
10/31/2070,62.72
11/30/2070,62.72
12/31/2070,62.72
1/31/2071,62.72
2/28/2071,62.72
3/31/2071,62.72
4/30/2071,62.72
5/31/2071,62.72
6/30/2071,62.72
7/31/2071,62.72
8/31/2071,62.72
9/30/2071,62.72
10/31/2071,62.72
11/30/2071,62.72
12/31/2071,62.72
1/31/2072,62.72
2/29/2072,62.72
3/31/2072,62.72
4/30/2072,62.72
5/31/2072,62.72
6/30/2072,62.72
7/31/2072,62.72
8/31/2072,62.72
9/30/2072,62.72
10/31/2072,62.72
11/30/2072,62.72
12/31/2072,62.72
1/31/2073,62.72
2/28/2073,62.72
3/31/2073,62.72
4/30/2073,62.72
5/31/2073,62.72
6/30/2073,62.72
7/31/2073,62.72
8/31/2073,62.72
9/30/2073,62.72
10/31/2073,62.72
11/30/2073,62.72
12/31/2073,62.72
1/31/2074,62.72
2/28/2074,62.72
3/31/2074,62.72
4/30/2074,62.72
5/31/2074,62.72
6/30/2074,62.72
7/31/2074,62.72
8/31/2074,62.72
9/30/2074,62.72
10/31/2074,62.72
11/30/2074,62.72
12/31/2074,62.72
1/31/2075,
